/Library/Frameworks/Python.framework/Versions/2.7/bin/python2.7 /Users/deeptivelusamy/CSE536Mapper&reducer/thread_test.py
malefactors 1
things 11
acquire 1
woollen 2
untuned 2
dryness 1
biddings 1
humbleness 3
wdean 1
harmony 2
babies 1
Of 11
oraearsa 1
bososs 1
Clotens 1
thowor 1
toasted 2
wellgto 1
freeness 1
AEsony 1
voyages 2
Runs 2
Od 1
suchlike 1
nod 4
sratrgcoss 1
misdoubt 3
devilishist 1
mord 1
Living 1
Oa 1
supper 5
Persia 1
declensions 1
herd 4
tune 7
meads 1
intrusion 2
matters 3
veild 1
Verges 1
drivnerd 1
bonny 2
WhentThd 1
stillness 1
hatherefueds 1
interrd 1
fittest 4
Jennys 1
rancorous 1
tennisballs 1
Theyll 5
Thank 5
sleeps 9
THAT 1
misconstruction 1
distribute 1
sleepy 3
forsaken 2
beset 1
disguise 6
Frowns 1
LAUNCELOT 1
strangk 1
plight 4
divination 1
succeeding 1
Happy 4
Eternity 1
aDaniele 1
swaggering 1
enters 3
hal 1
han 1
precipitation 1
ease 6
exorciser 1
had 11
advancement 1
Honourd 1
redlattice 1
ewes 2
hay 2
birdingpieces 1
Surely 1
Measures 1
innocent 6
prison 7
wiving 2
ieus 1
has 9
hat 8
hav 1
Legitimate 1
guilts 1
Refuse 1
casually 1
rgoerousscoursa 1
quire 2
confection 1
gormandise 1
possible 7
TAURUS 1
thenexsy 1
gobetween 1
bushs 1
roughness 1
birth 7
calfs 2
Tmyself 1
goerback 1
summons 1
d 1
desire 10
Lords 6
Bravely 1
wellfavored 1
seaside 1
fsut 1
Claudio 1
Ifaith 1
misled 2
steps 3
Shrove 1
OF 3
Further 3
Enntreat 1
Ithaca 1
beneficial 1
right 11
old 11
creek 1
olf 1
people 10
honeysuckles 1
ash 1
crown 9
AEMILIA 1
captive 3
sure 11
wronger 2
Between 7
Off 3
creep 5
enemies 8
roverent 1
perchance 5
Darest 1
for 11
bottom 7
spites 1
Appeard 1
rehearse 1
fox 5
homespuns 1
witty 3
foe 5
roverene 1
fog 3
betimes 3
sots 1
Armenia 1
serpents 3
period 3
fon 1
foo 1
foh 2
foi 1
thunderlike 1
Callt 1
shakes 4
Calls 1
pitchy 1
disdaind 2
shalldigresteit 1
Mislead 1
Calld 1
Thine 5
yoke 6
pinches 1
losing 2
Leah 1
reviled 1
disdains 2
Think 8
doctostTo 1
First 11
youor 1
bencher 1
lackey 2
gaze 4
citizens 4
falln 3
o 10
Valentine 1
tardiness 1
despair 7
doctorsclerkh 1
Shake 2
carbuncled 1
suggestions 1
slightly 3
meddle 4
hisbrack 1
Use 6
sob 1
opnetThh 1
accustomd 1
tochand 1
Greeks 1
nought 6
Scotland 1
sol 1
Sollasolltwtochn 1
son 11
thankful 5
sos 1
coloured 1
Villany 1
sot 3
Fiery 1
kissd 3
wrap 2
thm 1
shoots 3
omethiks 1
dafft 1
inadoor 1
Tiber 2
plaguesore 1
despised 2
beneath 3
waits 1
suffice 3
constantly 1
Hang 10
tame 7
avail 1
Pray 10
dong 1
doctou 1
despiser 1
greatness 5
rapes 1
untie 2
cper 1
happy 11
Charlemain 1
perfumer 1
perfumes 1
offer 9
Invest 1
vouchsafing 1
spendst 1
gripes 1
canopied 1
populous 1
talents 1
Age 2
perfumed 2
herewhats 1
Mountanto 1
safeguard 1
contemning 1
Seeing 3
fairfaced 1
circumstantial 1
humbled 3
martial 1
extremity 7
chanticleer 1
selfsubdued 1
mural 1
County 2
humbler 1
toucnd 1
entangles 1
lays 4
desertless 1
sweattTheysunderbuaothns 1
toroanr 1
palm 4
muttons 1
dues 1
arrayd 1
Sir 10
geminy 1
liberal 3
Depending 1
seamark 1
Six 1
Exceeding 1
hollad 1
meagre 1
Crush 1
TtatI 1
proves 3
exist 1
Crookkneed 1
Brundusium 1
dealer 1
Thnehis 1
crutches 1
Francisco 1
warmd 2
mired 1
floor 2
perpend 2
FLUTE 1
crowns 5
outparamoured 1
uttered 2
flood 7
youand 1
quickens 1
bellows 1
ambitious 3
onetThere 1
purpleingrain 1
motleyminded 1
smell 8
roll 2
gretse 1
fumiter 1
woodman 2
wheresoer 1
intend 6
WhichiIf 1
palms 1
Servitors 1
transported 2
Damnd 1
fins 1
comely 3
intent 6
smelling 1
variable 3
unactive 1
hurt 10
answeel 1
fastened 1
highness 8
diadem 1
Inform 3
Charles 1
peize 1
Fleming 1
Brought 4
messengercampe 1
havebwetteeknest 1
brew 1
varld 1
time 11
push 2
bewray 2
banners 3
Tullus 1
Thisne 1
dotes 2
gown 4
sinkingripe 1
childs 1
chain 6
SIMPLE 1
machination 1
V 11
Byr 3
