/Library/Frameworks/Python.framework/Versions/2.7/bin/python2.7 /Users/deeptivelusamy/CSE536Mapper&reducer/thread_test.py
swan 1
sweetest 5
Job 1
presents 2
robed 1
Sweep 2
dukes 6
sorry 9
sway 7
hats 2
nourishes 1
ENDS 1
aprons 1
rescue 6
cozenage 2
Datchetmeat 1
rushling 1
hadst 10
atwain 1
Thiersav 1
pardonI 1
Patch 1
crowkeeper 1
smack 2
overcanopied 1
betters 2
confederate 3
affect 4
Troth 2
courageous 5
bowstring 1
soreshaming 1
similes 2
Thomas 1
squares 1
holiness 1
Longs 1
graced 3
companies 2
boitier 1
FRANCE 1
ducat 1
convenience 2
Hercules 9
ainger 1
sexton 1
Hhe 1
misbeliever 1
yoI 1
OBERON 1
graces 9
clapperclaw 1
swoons 2
farmhouse 2
winded 2
force 10
lustre 3
Provoked 2
crave 6
burnishd 2
favourer 1
wfhts 1
unproperly 1
dere 1
quill 1
even 11
asin 1
Affected 1
curbs 1
pavilionclothofgold 1
wreck 4
desirous 1
integrity 3
baskd 1
decays 1
assembled 2
prisond 1
lights 4
sunder 4
Put 5
new 11
net 1
Circes 1
ever 11
manager 1
reviving 1
convented 1
Enrobe 1
Charmian 1
mea 1
purchasedslaove 1
Marcellus 1
Conceit 1
Shyloct 1
meo 1
never 11
foeyour 1
wroth 1
drew 7
wode 1
linkd 1
met 9
ei 1
pley 1
mes 1
misprising 1
active 1
Comparisons 1
aisgenforcln 1
rods 1
patches 1
dry 9
yielders 1
resty 1
taper 1
rests 2
oman 1
meO 2
ally 1
piercing 2
Hail 5
guide 3
golds 1
credit 8
bespoke 2
superstitious 1
permit 4
SENIOR 1
pack 6
andael 1
emulation 2
ats 1
poorest 2
heedful 1
plea 1
City 1
Rather 6
illfavourd 1
schooling 1
wouldmhake 1
county 3
Behind 2
moral 5
guests 3
drowned 4
counts 2
Downy 1
overhear 1
aheight 1
possitable 1
hoan 1
barky 1
army 7
sweetsavord 1
housdoButgGiv 1
barks 2
arms 8
ENOBARBUS 1
seventy 1
orthography 1
call 11
calm 4
pribbles 1
majestys 1
Insisting 1
armd 5
leaky 1
tell 11
calf 1
Portias 1
churchyard 1
posting 2
lungs 4
tokdept 1
coldst 1
wart 2
Imogens 1
merly 1
wars 8
warp 1
Blasts 1
warn 1
warm 6
frenzy 4
leans 2
shelters 1
qualm 1
jealosy 1
Unworthy 1
ward 3
ware 1
moulded 1
Pinion 1
shepherds 4
Capilet 1
Beguiles 1
room 10
trots 1
Awaking 2
Raise 1
rooe 1
roof 6
heavenII 1
choughs 3
isgoinu 1
Beguiled 1
panting 2
Consent 2
guise 1
Hectors 2
troth 10
lodged 1
Irons 1
Lie 6
barbers 3
quod 1
fiftyfold 1
give 11
punk 2
laughs 2
Whereat 1
lao 1
honey 2
barberd 1
degenerate 1
Tie 3
restrainst 1
laughd 5
loathe 2
Dapples 1
Women 1
answen 1
Phoenix 1
generals 3
rib 1
Lurk 1
baseness 5
steln 1
faults 8
Jack 5
dispense 2
answer 11
shortens 1
Striving 1
answew 1
allicholy 1
recompense 7
theclerkI 1
blanks 1
minority 1
arrearages 1
reconciled 2
summary 1
indignity 2
loyalty 5
choler 3
curiosity 1
brazenface 1
MmuicO 1
president 1
reconciler 1
reconciles 2
beckd 1
roynish 1
plies 1
purchase 4
All 11
attempt 6
third 9
bowld 1
chariness 1
descends 1
cinque 1
honoutomadame 1
owls 1
humblebee 2
maintain 4
puny 2
Ludstown 1
plied 1
cockscomb 1
operate 1
nighttapers 1
knowthat 1
operations 1
fife 2
deck 2
offerst 1
avnour 1
herdsmen 1
foresay 1
fleece 1
muniments 1
merchanl 1
befall 2
fortify 1
beforl 1
fable 1
decu 1
miscarry 1
partisans 1
wickedness 5
before 11
illfavored 1
gentl 1
affectiois 1
beggd 6
bettee 1
personal 2
unprovided 1
properer 1
crew 1
better 11
Observe 1
pestiferous 1
genty 1
Helen 3
carve 2
AEgle 1
overcome 1
anin 1
knowest 4
oerjoyd 1
prithee 7
weakness 4
Iunquure 1
medcinable 1
wellderived 1
andwafothier 1
hateThisusqualhweight 1
proudlier 1
sceptre 3
singularity 1
bluish 1
Tibs 1
rhetoric 1
leaner 1
meat 10
sakes 1
Indeed 9
Agreed 2
arrested 2
mistrust 4
Ariadne 1
Goose 1
Hath 11
bonh 1
mead 1
wage 4
mounts 2
dulness 2
went 9
sliver 1
Hate 2
side 10
bone 1
mean 11
factionary 1
heavenHowTis 1
Tarquin 2
anticly 1
Perform 1
CELIA 1
ligh 1
Ild 4
skins 1
drjec 1
therse 1
taught 5
Niece 1
ThatIe 1
forgot 10
Woe 3
flshe 1
Hirtius 1
hospitable 2
contend 1
merchants 3
unbound 1
AntonioO 1
sluts 1
hanbledcolnswd 1
tales 5
cheques 2
portend 1
content 11
redresses 1
Romes 1
affords 1
fortunetell 1
sufficeth 1
surprise 2
sluggish 1
custoh 1
PRINCE 1
Must 8
grease 3
assaults 2
relics 1
Rosalinda 1
resume 2
deceived 8
mistrese 1
revenge 9
bestow 8
marred 1
juvenal 1
cement 2
abate 1
wolvish 1
mistress 11
stomachers 1
greasy 4
chequed 1
acquittance 1
starts 3
cloyd 1
lout 1
hrnd 1
ist 8
ubjec 1
nursha 1
hethertiel 1
welladvised 1
prodigal 2
triumph 3
Owaise 1
arrived 2
loud 7
cloys 1
ise 1
penury 2
solemness 1
enraged 4
wronged 4
features 1
thereon 1
weregelot 1
hoop 1
andin 1
Sovereign 1
comforted 4
buttock 2
domle 1
hook 3
featured 1
sedges 1
restraind 3
comforter 1
ditch 3
hoof 1
noyifn 1
hood 1
rashness 2
goblins 1
debase 1
fartuous 1
acquaint 4
perused 2
girls 3
CORDELIA 1
windobeying 1
interlude 2
fastend 4
soothsayer 2
bodys 4
Cornets 2
dilated 1
solemnly 1
Justeius 1
tokend 1
et 1
feathers 3
villages 1
fcre 1
mused 1
swelld 1
tokens 2
Atalantas 1
chronicled 1
travelld 1
Troop 1
somewhat 2
swells 4
fullam 1
ravin 1
Safely 1
peculiar 1
ofgoloyaeptateryaoin 1
bidden 1
distance 3
Throca 1
Consider 5
preaches 1
soonest 1
exorcist 1
bitterness 4
dragonish 1
cite 1
preparation 8
matter 10
messengers 4
louder 2
silly 2
Personates 1
deserving 6
Ripeness 1
quarry 1
knights 3
threadbare 1
Cavaleiro 1
aends 1
tattling 2
ravished 2
Deucalion 1
seet 5
sees 5
chimneypiece 1
palace 7
gaudy 2
quench 4
palpablegross 1
modern 3
mind 11
mine 11
ginger 1
tella 1
myrnams 1
seed 1
clouts 1
seen 11
seem 10
churn 1
seek 11
tells 7
reprieve 3
yonds 1
SOLINUSS 1
scapes 1
unseduced 1
prattling 2
Egyptian 1
DOLABELLA 1
yoing 1
divulge 1
Margery 1
fitting 1
hags 1
scaped 2
niece 2
linseywoolsey 1
Happiest 1
justest 1
guestjustice 1
thumb 1
unroofd 1
wrists 1
oatiosn 1
Knight 3
Frederick 1
tya 1
Slender 1
plackets 1
Nilus 1
Colours 1
mysel 1
meddling 1
tyt 1
Comes 4
greatst 3
Vell 1
observation 4
torchbearer 1
Scratch 2
consumed 2
impostor 1
Confirmd 1
dog 10
breathes 1
breather 2
dunghill 2
competitors 1
points 5
NFor 1
dos 1
paysan 1
consumes 1
dot 6
discontent 2
cursedst 1
hunger 5
rapture 1
causes 2
retire 6
Coin 1
sweating 3
treaties 1
attempts 1
Worshipful 1
poison 9
thromuldo 1
cruelly 1
ebbd 1
falsehoodfalsehood 1
Olivers 1
capitulate 1
sowd 2
Troyan 1
judges 1
acquit 2
divinity 3
pates 1
Hdhbween 1
toeehfFor 1
debts 2
turncoat 1
Free 2
sugar 3
silenceWho 1
judged 1
thdlawa 1
folks 3
worser 3
hoard 1
topmast 1
wearing 2
flames 3
compounded 4
LEONATOs 1
tailors 5
stop 11
perceive 10
coast 2
Leave 6
bootless 3
pinse 1
hrnh 1
slanderous 3
churches 2
Erebusg 1
quarters 1
ritaigtThh 1
Bocchus 1
hourit 1
earl 3
child 10
ANTONY 1
bar 5
sailing 1
LEONATOS 1
fields 5
Over 4
Dispatch 3
bay 6
illegitimate 1
bag 4
bad 9
softly 5
troop 5
finebaited 1
counters 1
LAFEU 1
ears 11
Titan 1
unworthy 6
reference 3
imitate 2
prophesy 2
followers 8
horrors 1
blameless 1
dwellingplace 1
Intends 2
allure 1
Pursuing 1
Tkild 1
vented 2
mournfully 1
subject 8
pebbles 2
voyage 6
said 11
Run 6
shaven 1
Scripture 1
sail 5
Took 3
artificial 1
continent 3
meanest 6
embroidery 1
adjudged 1
knives 2
sorts 3
mians 1
bowstrings 1
shavet 1
profits 2
warrior 5
askwherefore 1
Patient 1
falseplayd 1
wears 7
vows 8
unkissed 1
usurps 1
yesternight 1
ignorance 6
staves 2
weary 6
vowd 1
wlls 1
bestesteemd 1
gentry 4
cousin 5
picking 1
Yours 4
grattudrs 1
suggested 1
horsemen 1
Tthese 1
tapesty 1
uncertainty 2
finishd 2
against 11
Faustuses 1
Abetting 1
chaplet 1
notarys 1
thermin 1
distinction 4
sunshine 1
dislocate 1
Forhin 1
aspics 1
Given 2
muict 1
waterdrops 1
Returnd 1
governess 1
appeared 2
Assumed 1
wildgeese 1
lullaby 1
Pentecost 1
height 7
unnoted 1
inquisitive 1
lanterns 1
Forest 1
lowly 1
lern 1
springs 2
speedily 3
mannish 2
Gives 7
Favours 1
Resolved 2
proceeded 2
puts 8
muicn 1
amairm 1
Plaster 1
three 11
erect 1
particulars 5
Early 1
commission 5
villany 6
remediate 1
interest 5
Sled 1
entered 3
lovely 3
knowbyd 1
threw 6
lifepreserving 1
chud 1
DE 1
deeper 2
prosperous 4
Saddle 1
Bertram 1
greyhound 3
illrooted 1
Flow 1
Shed 1
shrillgorged 1
chill 2
moistend 1
alley 1
ofurgcs 1
Amaimon 1
passant 1
Enforce 2
knoiostwwhere 1
tyeknwifeswoheaonesly 1
harshness 2
tank 1
sly 1
neaf 1
affirm 2
Into 10
Puck 1
murderd 2
tastes 1
transformation 1
ugly 6
near 11
melted 5
neat 2
alighted 1
attmpate 1
vurther 1
signifies 1
theybe 1
balance 3
ermsn 1
Tuesday 2
spawn 1
ix 1
seven 8
changed 6
incontinent 1
frientwThat 1
naming 1
is 11
Nan 1
it 11
defeated 1
shame 10
cant 1
divest 1
im 1
il 1
jest 7
in 11
accidence 1
Andpon 1
stoppd 2
Nay 11
mouse 3
Themselves 1
interchained 1
if 11
grown 5
Fast 2
yourleiasure 1
foultainted 1
cools 2
receiv 1
parish 2
make 11
yourleiasurn 1
billeted 1
entreating 1
Adieu 7
unfortunate 5
handmaids 1
greaeprigho 1
sat 7
grows 8
bells 2
lunes 1
meets 3
bearded 1
advocate 2
scarfs 2
wfhetooe 1
VI 8
Haply 5
differing 2
opulent 2
delight 7
meeta 1
Values 1
kin 5
Home 2
jealous 8
Unreconciliable 1
guilders 1
opportunity 3
thoughts 10
ANGELO 1
shmse 1
welcomnnot 1
unseasoned 1
settled 1
failing 2
smokes 2
inherit 4
midway 3
Thames 1
approbation 2
ltve 1
poorrudhe 1
qualities 6
wednt 1
claims 3
glittering 1
chargeyou 1
yours 11
left 11
hujus 1
transformd 3
Errors 1
Spoke 4
just 8
sentence 6
yea 9
Fixing 2
wiser 5
presume 3
offs 2
poniards 2
verses 3
personages 1
human 5
hrve 1
yes 9
uslencp 1
yet 11
bleared 2
secure 3
Groan 1
infinitely 1
legion 1
Thouldst 2
regarded 1
Demetrius 1
royal 8
intends 2
magistrates 1
straw 2
potential 1
Chanting 1
Wear 4
justices 3
justicer 2
News 2
ifLord 1
save 9
trimming 2
ahanging 1
Lleave 1
boasted 1
sailors 3
dreamd 2
trippingly 1
Epidamnum 1
obedient 4
forester 2
mjesudy 1
ope 6
orphan 1
discreet 2
wanting 4
OSWALD 1
dreamt 1
stoccadoes 1
erected 1
dulche 1
dreams 3
vanity 3
shoulder 6
dignity 7
Art 7
foolery 7
visible 3
reaso 1
untender 2
unnecessary 1
paiws 1
prating 2
Are 11
fifes 1
snatchd 2
notorious 2
unscannd 1
Firm 1
plice 1
Prince 2
Witness 2
cowardice 2
Actaeon 1
commanders 1
dean 1
deal 8
Upbraids 1
overheardst 1
vell 1
deaf 3
paih 1
dead 11
minces 1
vaulted 1
revel 3
ROSALIND 1
varnishd 1
fingering 1
dear 11
pain 9
eer 7
cypress 1
chollors 1
deat 1
tripped 2
touccns 1
teachest 1
mannerlymodest 1
theatre 1
ssnmaon 1
nowWell 1
godden 1
Safe 2
outstood 1
Quite 3
Nerissisryine 1
jackanapes 3
drudge 4
provoking 1
beget 2
thinkest 2
exeunt 4
Amyntas 1
enclouded 1
meanings 2
bold 9
falter 1
unwholesome 2
Countergate 1
burn 8
valudt 1
jester 2
nayword 1
youAway 1
popular 1
sift 1
milksops 1
bolt 6
burs 1
burr 1
keeper 1
Fors 1
bury 6
missive 1
highway 2
wept 4
truelove 1
puking 1
Juno 5
Benedicks 1
conceal 4
Fine 2
ribs 3
haply 4
phlegmatic 1
loosewived 1
cowlstaff 1
Hearing 5
blithe 1
Retires 1
Saxonys 1
commix 1
azure 1
commit 7
Envenoms 1
sprites 1
Fillip 1
strucken 2
hotly 2
prisons 1
Lovers 2
lief 4
flatterer 1
lied 2
Leonatos 1
guestwise 1
<asyoulikeit> 1
sainted 1
Alarums 2
bemadding 1
intellectual 1
down 11
lies 11
doctrine 2
carving 2
errs 1
dowg 1
insult 1
unregarded 1
murderers 2
Commit 3
slipshod 1
Extended 2
Unless 9
Committing 1
ofouI 1
catlike 1
flying 4
jealousy 6
lowering 1
winters 3
vehemence 1
caparison 1
factions 1
shipwreckd 1
ofieche 1
carcanet 1
fork 1
starve 6
pinnd 1
veil 1
annals 1
form 8
forks 1
January 1
lapsing 1
fore 3
ford 2
garments 10
ildleand 1
prettily 1
arbour 1
fors 2
blindness 2
obsequies 1
hedgesparrow 1
fort 7
Virginity 1
Golden 1
Invades 1
sprigs 1
prevents 1
Poisons 1
bounds 4
praeing 1
Sestos 1
privily 1
Puppet 1
Cneius 1
rageth 1
plaintiffs 1
Suffer 1
temper 6
musk 1
napkin 1
shin 1
sticks 3
firs 1
covert 1
likearllittleshrJe 1
divines 1
Madman 1
graff 1
covers 1
drive 7
paring 1
Gaze 1
Ighave 1
longst 1
Pythagoras 1
coverd 3
esteemd 2
widows 2
nonpareil 2
nightdogs 1
holla 2
bruising 1
Informd 2
agreeing 1
skirted 1
holloweyed 1
generally 4
Andrew 1
handed 1
greeneyed 1
venison 3
hellpains 1
Aare 1
holly 1
fosterd 1
levelld 2
overbuys 1
discretions 1
thislhasy 1
garland 3
savage 5
dies 10
slink 2
felt 7
extremest 4
Drive 1
diet 3
stockings 1
llay 1
fell 9
oouccnsppieace 1
publican 1
hucan 1
authorities 2
faitetdevsielyt 1
died 8
CYMBELINE 1
houldhwe 1
plfic 1
apology 1
Translate 1
assume 3
Win 2
blushing 1
microcosm 1
awaking 1
daily 4
trembled 1
Second 9
Wit 1
itizean 1
almanac 2
teeth 9
allbgriee 1
ungracious 1
parcels 3
restored 2
ableeding 1
precise 1
resurrections 1
managed 1
disorderd 1
headsman 1
skip 4
relieve 6
peruse 2
eldest 6
invent 1
Winning 1
themes 1
mild 4
mile 6
yourargosirsf 1
skin 6
doate 1
idolatry 1
zwaggered 1
milk 5
retention 1
markd 5
Subdue 1
praises 6
disorders 2
answerer 1
fancies 1
striving 2
swoon 3
father 11
answered 7
finally 1
praised 7
cankerblossom 1
marks 6
sovereignty 5
daintily 1
unburden 1
Certainly 2
me 11
cozengermans 1
strumpeted 1
fatherO 1
estridge 1
mince 2
Cavaleirojustice 1
genitivo 1
aths 1
advised 5
forked 3
curdied 1
Where 11
pious 1
Abram 1
ry 1
din 3
Apollo 2
rebelling 1
banished 4
excellency 2
die 11
dig 1
Grecians 1
accidentally 2
keepers 1
limed 2
augers 1
thiru 1
candlewasters 1
excellence 2
unquietness 1
bodycurer 1
muiciane 1
gentlewoman 6
round 8
prickest 1
talked 3
sirrah 10
dealing 1
Forsooth 2
desirste 1
refusing 2
wherefore 9
descried 1
Shakespeare 1
Smile 4
targets 1
answeeu 1
stealer 2
unbar 2
quicksands 1
chooseth 1
heres 10
canstrailo 1
favour 10
tyeluigis 1
wors 1
suspect 6
tWill 1
channel 1
sawpit 1
drunkard 3
dishonestly 1
Lightens 1
Breathe 2
dwarf 2
wail 2
guardian 1
clerk 1
Civility 1
Bids 1
bestowing 1
loathly 1
ofRSome 1
detest 2
leap 4
deceit 3
conversant 1
earthquake 2
TtoNERISS 1
wait 7
box 4
boy 11
thinkst 4
neats 1
cuckoo 4
Gentles 1
shift 9
cozen 2
bot 1
outface 2
bow 7
expulsion 2
spheres 3
orld 1
fortress 1
carbuncles 1
Jaques 2
bob 2
comates 1
measuring 1
bruised 3
bog 2
Standing 1
hither 11
rheumatic 2
insolent 2
bastinado 1
Thessalian 1
inscription 1
robs 1
merely 3
Marcius 1
When 11
Ninnys 1
emptyhearted 1
soliciting 1
seeifn 1
withal 9
overname 1
giveis 1
verge 2
plots 4
withad 1
Wh 1
Spay 1
anew 1
honester 3
dolorous 1
ayn 1
wealth 9
sharper 2
baes 2
sake 11
lieutenants 1
stoops 2
thre 1
visit 8
splinters 1
Abhor 1
huldasd 1
fusty 1
uprightjudgee 1
pert 1
noisome 3
unconfirmed 1
stoopd 1
ays 1
Constrains 1
Ordaind 1
witnesseth 1
repast 1
Mean 1
owest 1
waysI 1
sued 1
treasury 1
Orlando 1
Beg 4
thatllittlechanble 1
Bee 1
oot 1
recreant 3
pretences 1
Boskos 1
olive 2
orator 2
osprey 1
robe 2
Bet 2
bushels 1
fly 10
Duke 5
pageant 2
Accusativo 1
soug 1
deformed 2
soul 11
schedule 1
overnight 1
sous 1
sour 3
growing 3
making 8
bites 2
Cassius 1
deceased 3
Fill 1
lords 11
Shuts 1
nothHavebaerlyf 1
Subscribed 1
Deserve 3
prethee 1
confused 2
flouting 3
sample 1
drawer 1
palld 1
council 3
Dutch 2
Scorn 1
aDanielr 1
redness 1
pink 1
purr 1
LEONATUS 1
Gloucesters 1
deathwe 1
pine 2
tatterd 1
till 11
pure 9
swore 8
Tuscan 1
persuasion 4
sworn 10
goodman 1
Looks 3
map 2
staying 2
mar 5
bidding 6
shins 2
maw 1
dislimns 1
may 11
tilting 1
fed 7
praiseworthy 1
boldest 1
mockd 2
gangrened 1
mad 11
mocks 3
reasondis 1
mak 1
grow 11
man 11
dignifies 1
pins 1
hemlock 1
neck 9
Fury 1
oates 1
scolding 1
borrowing 1
Trib 1
tale 9
Welsh 1
thorny 1
block 4
deceive 6
hugeness 1
tall 7
wildboars 1
Trip 2
talk 11
frames 1
shoes 5
Thricenobler 1
Wentst 1
pointed 1
wishing 2
denial 2
MARGARET 1
entrails 1
cuts 3
differs 3
solder 1
owl 3
adopt 1
Droop 1
conjunction 1
thank 11
foolbeggd 1
welcomnhoamd 1
Rail 1
clearest 1
maid 9
predominate 1
gem 3
Worthy 6
policy 6
ours 8
main 6
sterility 1
themodbesy 1
tly 1
truest 3
psyefoo 1
accusations 2
Countercheque 1
quenchd 3
andmculee 1
sooner 7
cruels 1
recoverd 1
Cataian 1
touching 3
revenging 1
She 11
tucket 1
foghaveinsther 1
Yyou 1
annexd 1
killed 8
teller 1
possess 4
answeed 1
aidant 1
renderist 1
Simple 1
yielm 1
arrows 2
peasant 5
careless 3
Comelius 1
rock 7
heartsick 1
atned 1
eyelid 1
surfeit 5
thinkt 1
fistula 1
treacherous 4
chastitys 1
inclips 1
richly 5
unlock 1
unclasp 1
Tarentum 1
befell 1
aloof 2
girl 5
Dishonestly 1
shewd 1
sallets 1
royon 1
living 8
Sonnets 1
condemnd 4
mouths 4
Inclined 1
aulae 1
eightyearold 1
Whistling 1
palmtree 1
marriagesurely 1
Whereupon 1
thanthis 1
correct 1
assurance 5
monster 6
Rights 1
debted 1
Sometimes 1
brooks 1
spies 3
orl 1
musing 1
PORTIt 1
spied 3
cough 2
orb 3
horseshoe 1
advance 5
ridingsuit 1
thatsWhen 1
lgighlyt 1
language 4
goest 5
Being 10
contented 4
outweighs 1
Ladders 1
thing 11
firsy 1
thine 11
obscure 1
fillhorse 1
sufferance 7
Jewry 2
Mounseur 1
think 11
remorseful 1
first 11
cheese 3
ANTONYs 1
dwelling 2
Fulvias 1
malkin 1
kernel 1
afer 1
ewtelde 1
untwine 1
Detain 1
nativity 5
XIII 1
Black 1
long 11
bridegrooms 2
carry 7
temperance 3
sounds 7
fourscore 4
lav 1
discharged 5
Dardanian 1
Minerva 1
little 11
greediness 1
stervedpeopble 1
littlo 1
coiner 1
slept 6
whirlipool 1
presenthow 1
Provide 1
childishness 3
littls 1
fiery 7
favouring 2
Post 2
las 1
THYREUS 1
speaking 6
paved 1
eyes 11
Fortune 9
subsisting 1
Rings 1
heritage 1
Neaerest 1
Epidaurus 1
showplace 1
eyed 1
Thither 4
serves 4
dukedom 1
othett 1
goddesses 3
othets 1
wert 8
espy 1
Pillicock 1
fullhearted 1
crackd 4
venture 4
were 11
drjecly 1
commends 3
forild 1
files 3
gathering 1
lick 2
Court 1
pittikins 1
Hows 1
acknowledged 2
churchyards 1
hearer 2
Dercetas 1
voices 5
entombed 1
humblest 1
conspiracy 1
wallnewt 1
spectacle 1
Jewy 1
findst 2
Tripolis 1
Do 11
giveuit 1
vestments 1
puling 1
answering 3
everstrinme 1
wretch 6
approof 2
ousel 1
interior 2
haste 11
pranks 2
reprehended 1
Mome 1
flattered 3
Articles 1
fops 1
himseln 1
amiable 3
Name 4
trace 3
arguing 1
paid 6
rehearsal 1
roused 2
assault 3
Perfumes 1
entreaty 4
sheets 3
dissolutions 1
pair 8
flannel 1
mettle 3
entreats 2
queens 2
Trust 7
eaterrMmuichMak 1
especially 5
damns 1
digestions 1
wreathed 1
compounds 1
filly 1
fordone 2
pernicious 3
filld 5
damnd 2
scowl 1
merriments 1
onlythr 1
Toryne 1
Prejudicates 1
shop 3
knowas 1
shot 5
show 11
Adrian 1
xcuoset 1
supposition 4
swomn 1
ribbreaking 1
shoe 4
Kent 1
threshold 2
corner 3
Wisdom 3
endeavours 2
curled 2
We 11
grve 1
dice 5
warlike 6
plume 1
treasure 4
storms 3
enough 11
Pierced 1
black 9
dissembling 4
woundings 1
vainglory 1
consulship 1
Howm 1
bringer 2
heaveniat 1
landrats 1
accordant 1
get 11
hostage 1
monhIm 1
derides 1
Turn 5
pepperbox 1
irt 1
Turk 5
nearly 4
unpressd 1
distinctly 1
forsook 1
denials 2
Worthily 2
gibbet 2
firstborn 1
Triton 1
commandto 1
beseech 11
Right 5
yieln 1
Striking 3
commoner 1
yield 11
morning 11
threading 1
miles 5
source 1
Hellespont 1
Illmear 1
dowers 1
tallow 3
Peaseblossom 1
silently 1
maidenliest 1
stag 3
lethargy 1
honesty 8
Grant 1
seas 4
sear 1
unkinglike 1
seat 5
doings 1
Lucifer 1
seal 9
sluttery 1
Csome 1
calendar 2
Beating 4
wonder 11
satisfying 1
repined 1
subcontracted 1
Helena 2
untreasured 1
seldshown 1
ornament 2
Forgive 2
exigent 1
label 1
behind 11
digest 3
diamonds 1
ditchd 1
reading 6
expose 1
across 2
satiate 1
cullionly 1
importbut 1
parent 2
tur 1
killing 4
earthygross 1
countenance 7
Finish 1
methoughtI 1
Each 7
virginlike 1
entrances 1
tub 1
Parted 2
Melodious 1
feelers 1
staged 1
fogGiv 1
lieutenantry 1
dedicate 1
Importune 1
blasts 2
Slain 2
jovial 1
cognizance 1
reigns 1
scope 2
trulybut 1
among 9
pantler 1
contemnedst 1
unthrifty 1
dublel 1
seawing 1
rheum 5
maintained 1
thornbush 1
browsedst 1
cancel 1
comprehend 1
gauntlet 1
custody 1
nose 8
mandragora 1
sensible 6
arts 1
Sure 5
capable 3
marl 1
borderd 1
mark 11
mart 3
barrd 5
Salerio 1
Forethinking 1
acre 1
Assemble 2
muskroses 1
employments 1
movingdelicate 1
Conferrd 1
derogation 1
gentlnfess 1
Ovid 1
measles 1
offered 3
SomethingI 1
codpiece 2
chafed 1
Judge 1
Points 1
wake 5
Learn 3
roguish 1
efienhand 1
Scotch 1
dothake 1
those 11
sound 11
diviner 1
bullocks 1
raiment 2
twinnd 1
Attach 1
hic 2
slumber 3
eyeshis 1
tisnnot 1
timethe 1
himyou 1
quallty 1
eave 1
residence 2
cock 5
yourrnam 1
bathe 2
Venice 2
Woot 1
Venica 1
Mercy 1
endowed 1
sincere 1
VERGES 1
ignifye 1
partsaAnd 1
kindnesses 2
Preferment 1
strain 4
sudden 6
dangerously 1
traffickers 1
wisely 5
Nebuchadnezzar 1
Venicy 1
talkest 1
pap 1
bags 3
different 4
synagogue 1
pat 2
harsh 4
doctos 1
doctor 5
pay 9
lave 1
Nell 1
woodland 1
belie 2
heirs 3
Aufidius 1
waterish 1
speech 10
triumphantly 2
greyhounds 1
pah 1
pai 1
cates 1
enchants 1
tlylhoks 1
oil 4
covets 1
patrician 1
nominated 1
assist 4
doubleto 1
companion 9
doublets 1
running 7
sullen 2
Unblinding 1
scorned 2
Heaven 7
guardians 1
Apparel 1
climbing 1
riggd 1
Tragedy 1
devourd 1
Motion 1
woodbine 2
slanders 4
peach 1
largely 2
manycolourd 1
oppositions 1
Anon 3
slanderd 1
Applying 1
Thisbys 1
bottle 4
easing 1
mnfuet 1
amazed 6
coffer 1
gates 9
harbinger 2
suitor 3
Thatlaotnly 1
money 10
sights 2
mannerly 2
thejudgersclerk 1
Mayday 1
aspect 6
callst 2
wifes 5
formrybheffellod 1
sprang 1
Prosper 1
tooI 1
Stamped 1
Whispers 1
Thantis 1
yenert 1
masques 2
Plucking 1
Taurus 2
Margaret 1
trespasses 2
pile 2
shanks 2
Although 7
Weeds 1
augurers 1
heavier 4
fromhold 1
shapeless 1
ofBoils 1
mor 1
Waged 1
Wherever 1
admitting 1
Bellari 1
forge 1
Ransoming 1
perceiveth 1
azured 1
Withdraw 1
secrecy 2
gril 1
grim 4
moe 3
Plutus 1
Oertake 1
accusation 2
Raised 2
acquainted 7
Fetter 1
spigot 1
achieve 1
gossips 3
heretics 1
slain 5
superpraise 1
lightning 4
chamber 8
Thriceblessed 1
yokefellow 1
uoisr 1
laughing 4
robbery 2
served 10
passionate 1
Trow 1
lighterheeld 1
gossipd 1
stretched 2
fulfil 1
acold 1
muchaty 1
afflict 2
witchcraft 2
imprisonment 1
pronounce 2
dole 4
chicurmurco 1
sentinel 1
expel 1
images 2
pasture 3
Twere 5
ascent 1
uestmtatiodfFor 1
civilly 1
vloutingstog 1
gross 7
Meg 2
candles 1
mockst 1
doggd 1
confirm 4
Men 6
yoIsodlLet 1
Met 3
Syracusa 1
expressing 1
Slew 1
Aand 1
unluckily 1
maon 1
knife 5
Begone 1
considering 1
stuffingwell 1
forfeitures 1
mare 1
seconds 3
thefts 1
olplaigtomad 1
fitness 4
notable 2
unusual 1
thourt 6
broken 6
drums 3
carlot 1
pointblank 1
oloy 1
Pheezar 1
Assuredly 2
companionship 1
thenhark 1
Thought 1
theT 1
Proved 1
agele 1
contagion 2
roar 3
wouldabgath 1
devln 1
violence 2
paltering 1
maidthat 1
rested 1
knave 10
road 5
fallacy 1
rhitermnenepi 1
cautions 1
lands 5
dagger 7
soulcurer 1
Unburthend 1
whites 1
whiter 2
PUCK 1
blessed 9
empress 1
Bows 1
feverous 1
plaindealing 1
oldness 1
kneels 2
feeders 1
Alexandrian 1
braving 1
Frankfort 1
examples 1
Though 10
distracted 2
theoathed 1
Weed 1
fates 1
Rumble 1
lions 4
Bucklersbury 1
Plenty 1
Cilicia 1
portrait 1
Weep 1
Beoimo 1
chats 1
Counsel 1
mornings 4
hous 1
unraked 1
fltru 1
thatthat 1
unsettled 1
yous 1
